,Unnamed: 0,Review Date,Source,Location,Address,City,State,ZIP,Star Rating,Author,URL,Feedback,Original Feedback Language (if not English),Engagement Response,Processed_Feedback,Negative_Score,Neutral_Score,Positive_Score,Compound_Score,Feedback_Categories
163,163,07/27/21,Google,84096 BRIGHTON,922 S. 4th Ave.   -,Brighton,CO,80601,2,andrea perez,https://maps.google.com/maps?cid=14406599471959499854,Ordered through doordash arrived called Applebee's to let him know they did not inform me I had to go inside and pick up my order watch people pick up and go finally asked someone and they said my order was waiting inside was never told that got home and my food was cold,--,--,order people home food,0.0,1.0,0.0,0.0,Neutral
169,169,07/27/21,Google,84042 BROOMFIELD,6405 W. 120th Avenue   -,Broomfield,CO,80020,5,Blake Fellows,https://maps.google.com/maps?cid=11724775467766447871,Nick is very good watir and fast,--,--,,0.0,0.0,0.0,0.0,Neutral
171,171,07/27/21,Google,87085 WEST MIFFLIN,2045 Lebanon Church Road   -,Pittsburgh,PA,15122,5,Lisa Earnest,https://maps.google.com/maps?cid=9582569830074837875,Great food and service,--,--,food service,0.0,1.0,0.0,0.0,Neutral
172,172,07/27/21,Google,75005 CASTOR AVENUE,2535-37 Castor Avenue   -,Philadelphia,PA,19134,5,The Real DUELIST,https://maps.google.com/maps?cid=18102631466816524389,Amazing customer service and the food was lovely.,--,--,customer service food,0.0,1.0,0.0,0.0,Neutral
177,177,07/27/21,Google,78001 SOUTHFIELD,29177 Southfield Rd   -,Southfield,MI,48076,1,m martin,https://maps.google.com/maps?cid=15136001477172307352,Our drink were slow. Had to reorder due to them being watered down. A member out of our party did not receive her food until an hour later. While she was eating the Bartender yelled across the restaurant telling everyone to cash out and leave. No desert offered.,--,--,reorder member party hour restaurant desert,0.0,0.649,0.351,0.4019,Positive
196,196,07/27/21,Google,83081 WEST LANSING,5400 West Saginaw   -,Lansing,MI,48917,5,Tammy Ramona,https://maps.google.com/maps?cid=16398533861021752604,Michael was awesome! Very funny and friendly.,--,--,,0.0,0.0,0.0,0.0,Neutral
200,200,07/27/21,Google,83081 WEST LANSING,5400 West Saginaw   -,Lansing,MI,48917,5,L & M Party Rental,https://maps.google.com/maps?cid=16398533861021752604,"michael was super dope, attentive, and funny. i love this location!!",--,--,love location,0.0,0.192,0.808,0.6369,Positive
201,201,07/27/21,Google,84047 NORTH ACADEMY,7625 Goddard Street   -,Colorado Springs,CO,80920,1,Dawn McMullan,https://maps.google.com/maps?cid=16446380047659997031,"Both chicken bowls were horrible. Very odd taste. Fish and chips were burnt, overcooked and greasy.",--,--,taste fish chip,0.0,1.0,0.0,0.0,Neutral
213,213,07/27/21,Google,98075 WEST BRANCH,2992 Cook Road   -,West Branch,MI,48661,2,William Mountain,https://maps.google.com/maps?cid=11652640807624406006,"Food was good, service was ok. But had to wait 15 minutes because they were only seating at 50 capacity, when everyplace else is at or near full capacity",--,--,service minute capacity capacity,0.0,1.0,0.0,0.0,Neutral
219,219,07/27/21,Google,86027 GREENTREE RD,2101 Greentree Road   -,Pittsburgh,PA,15220,4,Tammy Winner,https://maps.google.com/maps?cid=16072741821672674176,"Food was excellent, service was good. The place it self was freezing cold.",--,--,food service place self,0.0,1.0,0.0,0.0,Neutral
220,220,07/27/21,Google,84007 WALKER,4475 Lake Michigan Drive NW   -,Walker,MI,49534,5,Jessica Scott,https://maps.google.com/maps?cid=1893790985873027340,Abby was a great server! Had us laughing at her quips all night!,--,--,night,0.0,1.0,0.0,0.0,Neutral
223,223,07/27/21,Google,98064 GAYLORD,1379 W. Main Street   -,Gaylord,MI,49735,3,Deaneen Mankowski,https://maps.google.com/maps?cid=13632679777599128283,"Ordered takeout tonight we had the most not so pleasant ""to go specialist"". Good thing the food was good!",--,--,tonight specialist thing food,0.0,1.0,0.0,0.0,Neutral
225,225,07/27/21,Google,91062 TRAVERSE CITY,2384 U.S. 31 South   -,Traverse City,MI,49684,1,Nick Armstrong,https://maps.google.com/maps?cid=15169376477309955632,"Food isnt very good, menu sucks, salad is decent tho �",--,--,food salad tho,0.0,1.0,0.0,0.0,Neutral
228,228,07/27/21,Google,84007 WALKER,4475 Lake Michigan Drive NW   -,Walker,MI,49534,5,Ian Kennelly,https://maps.google.com/maps?cid=1893790985873027340,Travis the waiter was an absolute savage! Give that boy a raise!!!,--,--,savage boy,0.75,0.25,0.0,-0.4588,Negative
239,239,07/27/21,Google,98075 WEST BRANCH,2992 Cook Road   -,West Branch,MI,48661,4,Amy Moorman,https://maps.google.com/maps?cid=11652640807624406006,Good  food.  Nice waitress.,--,--,,0.0,0.0,0.0,0.0,Neutral
240,240,07/27/21,Google,80077 MONROE,2100 N. Telegraph Road   -,Monroe,MI,48162,5,Joshua Chapman,https://maps.google.com/maps?cid=16526467520974761036,Dena is the best server in the world. eat here for her,--,--,server world,0.0,1.0,0.0,0.0,Neutral
250,250,07/27/21,Google,78033 8 MILE,2111 West Eight Mile Rd   -,Detroit,MI,48203,1,LaShanda Craft,https://maps.google.com/maps?cid=11746959218495040180,"Terrible service, waited in Carside for 1 hour 15 minutes for 2 salads",--,--,service minute salad,0.0,1.0,0.0,0.0,Neutral
255,255,07/27/21,Google,80073 COMMERCE,455 Haggerty Hwy.   -,Commerce Township,MI,48390,4,Chen Subramanian,https://maps.google.com/maps?cid=16744343174116201382,Delayed service due to lack of employees,--,--,service lack employee,0.535,0.465,0.0,-0.3182,Negative
257,257,07/27/21,Google,83089 GRAND HAVEN,680 N. Beacon Boulevard   -,Grand Haven,MI,49417,3,Mark Slagle,https://maps.google.com/maps?cid=15642952947674355373,Wish they would get back to pre covid. We are regulars and it is very hard to plan to stop here.,--,--,plan,0.0,1.0,0.0,0.0,Neutral
263,263,07/27/21,Google,94020 SELINSGROVE,901 N. Susquehanna Trail   -,Selinsgrove,PA,17870,4,kristina scott,https://maps.google.com/maps?cid=10295668491981561828,Lacie took care of us ! Steak was good drinks were good .,--,--,drink,0.0,1.0,0.0,0.0,Neutral
267,267,07/27/21,Google,94096 CITY LINE,7650 City Line   -,Philadelphia,PA,19151,1,Natasha Perkins,https://maps.google.com/maps?cid=1234702255841847924,"This place is absolutely horrible. Ordered the cajan blackened salmon via UberEats , and they sent salmon with no sides. Will not be ordering from here anymore. When I called and asked to speak to a manager the employees were rude!",--,--,place side speak manager employee rude,0.375,0.625,0.0,-0.4588,Negative
276,276,07/27/21,Google,95077 TRINITY POINT,1004 Trinity Circle   -,Washington,PA,15301,5,Every day Allen's Clarity Clarity,https://maps.google.com/maps?cid=8612420665774773715,The food there is so good,--,--,food,0.0,1.0,0.0,0.0,Neutral
277,277,07/27/21,Google,98087 THORNDALE,3479 E. Lincoln Hwy.   -,Thorndale,PA,19372,5,Megan White,https://maps.google.com/maps?cid=5174874376789263142,Brandi our server was amazing..she went above a beyond to give great service and her manager Chase was as equally awesome..I'm definitely calling the corporate office to let them know how great these two are,--,Thank you for your feedback.  Much appreciated!,server service manager office,0.0,1.0,0.0,0.0,Neutral
281,281,07/27/21,Google,78002 AURORA,10501 E. Garden Dr.   -,Aurora,CO,80012,3,Patricia Kochman,https://maps.google.com/maps?cid=8291164537135999139,We've always loved Applebees variety menu & great food but we have quit patronizing this locale. It earns 3 stars for the food but 3 strikes for each of the last 3 pickups where we didn't receive our full order that we paid for in advance.,--,--,food strike pickup order advance,0.273,0.727,0.0,-0.128,Neutral
292,292,07/27/21,Google,93037 ALTOONA,"5580 Goods Lanes, Suite 221   -",Altoona,PA,16602,4,Rodney Forshey,https://maps.google.com/maps?cid=10124503444703168288,Food was delicious and hot. Are server was awesome �,--,--,food server,0.0,1.0,0.0,0.0,Neutral
298,298,07/27/21,Google,83093 S-COLDWATER,787 E. Chicago   -,Coldwater,MI,49036,1,Andrew Ferris,https://maps.google.com/maps?cid=6701922760757801816,"If you were like me, you forgot just how terrible Applebee’s was during Covid. Server who was nice when we saw her but she was nonexistent and misheard us and gave us the wrong food then told us that the food that we wanted wasn’t available. Then when eating food that we did want, we realized the sad fact that we can make this food at home and it would taste so much better.",--,--,server food food food fact food,0.0,1.0,0.0,0.0,Neutral
301,301,07/27/21,Google,84000 S-PLAINWELL,1243 Hwy. M-89   -,Plainwell,MI,49080,5,Luke Fischer,https://maps.google.com/maps?cid=8760447179148142837,Wonderful GM!,--,--,,0.0,0.0,0.0,0.0,Neutral
305,305,07/27/21,Google,80081 HOWELL,3949 E. Grand River Ave.   -,Howell,MI,48843,5,J Hill,https://maps.google.com/maps?cid=13201008865726377567,I would call this a standard type of chain restaurant except the staff here all seem very pleasant and competent. We were served by Morgan when we frequented this establishment on the 27th of July and she did an outstanding job. Bonus points for the bearded stick figure head abd compliment left on our check.,--,--,type chain restaurant staff establishment job bonus point stick figure head compliment check,0.0,0.625,0.375,0.765,Positive
314,314,07/27/21,Google,89084 12TH ST,2911 West 12th Street   -,Erie,PA,16505,5,Debra Root,https://maps.google.com/maps?cid=9520118335343152850,It is my favorite chain restaurant to eat at. Food is always good,--,--,chain restaurant food,0.0,1.0,0.0,0.0,Neutral
320,320,07/27/21,Google,80073 COMMERCE,455 Haggerty Hwy.   -,Commerce Township,MI,48390,5,Kelly Melby,https://maps.google.com/maps?cid=16744343174116201382,Love the staff. Food is great. Jenny and Den are the favorites!,--,--,food,0.0,1.0,0.0,0.0,Neutral
323,323,07/27/21,Google,78035 MURRYSVILLE,4920 William Penn Highway   -,Murrysville,PA,15668,3,Donna Kane,https://maps.google.com/maps?cid=17802507282990941944,house salad for 3.99 really all it was is lettuce croutons very small chopped tomatoes and cheese I won't even get into the drink I had,--,--,cheese drink,0.0,1.0,0.0,0.0,Neutral
324,324,07/27/21,Google,84005 S-WINSTON PARK,1205 W. Michigan Ave.   -,Marshall,MI,49068,5,Bill Keenan,https://maps.google.com/maps?cid=11066452315626469813,Great visit.  Staff was great and food was delicious!!!,--,--,visit staff food,0.0,1.0,0.0,0.0,Neutral
329,329,07/27/21,Google,83088 OKEMOS,2284 Woodlake Drive   -,Okemos,MI,48864,5,Martha,https://maps.google.com/maps?cid=18387549273151305045,Taryn was our server. She had great energy. I felt safe eating here. Haven’t ate here in a few months due to covid. Will be back to eat here.,--,--,energy month,0.0,0.323,0.677,0.2732,Positive
335,335,07/27/21,Google,83082 ALPINE,3851 Alpine Ave NW   -,Comstock Park,MI,49321,5,Luke Martin,https://maps.google.com/maps?cid=3736908864242765116,Good food and great price. Love the 2 for 20,--,--,food price,0.0,1.0,0.0,0.0,Neutral
336,336,07/27/21,Google,84074 S-LOVELAND,213 East 29th Street   -,Loveland,CO,80538,5,Mike W.,https://maps.google.com/maps?cid=4807728614976424708,"4a Corp. Place it's Def. Hands down 1of the BEST Spots 2enjoy ur Fav. Foods & my last visit was such a GREAT TIME for Going Out 4Sat Night Dinner w/Fiance�! While simple it was a perfect evening 4us both.... Lol my cra cra order was no issue (unlike it is usually 4me) as they're very willing 2mix n match ur meal however ya prefer last time I had huge Ribeye on a huge Caesar salad with a bunch of other stuff that would take too long to type LOL, but it was no problem, and extremely affordable as it is not something actually on the menu I wasn't sure if they would even do it, and how much they would charge for it, but again I was extremely impressed with the amazing service as well as the delicious steak- truly it was such a wonderful evening out as like most people it's been a while since eating inside a restaurant and it was awesome to enjoy the atmosphere, and great scene�!!!",--,--,spot food time night dinner fiance evening order issue match meal time salad bunch stuff type lol problem menu service steak evening people restaurant enjoy scene,0.085,0.726,0.189,0.5106,Positive
337,337,07/27/21,Google,80059 SOUTHGATE,13855 Eureka Road   -,Southgate,MI,48195,1,Daniel Ball,https://maps.google.com/maps?cid=6540135001520003451,This place is just pure trash.,--,--,trash,0.0,1.0,0.0,0.0,Neutral
344,344,07/27/21,Google,80091 ALLEN PARK,23099 Outer Drive   -,Allen Park,MI,48101,4,Liz Gist,https://maps.google.com/maps?cid=11167553603389238067,"Enjoy eating out have missed this restaurant due to COVID 19.
Begin fully vaccine gave me the opportunity to enjoy one of my favorite foods",--,--,restaurant vaccine opportunity food,0.0,0.517,0.483,0.4215,Positive
348,348,07/27/21,Google,85015 FOUNTAIN,6428 S. Hwy. 85/87   -,Fountain,CO,80817,5,Marashette Burks,https://maps.google.com/maps?cid=17500861837925546523,"Great service, great food and wonderful atmosphere.",--,--,service food,0.0,1.0,0.0,0.0,Neutral
350,350,07/27/21,Google,83093 S-COLDWATER,787 E. Chicago   -,Coldwater,MI,49036,5,Andrea Gauss,https://maps.google.com/maps?cid=6701922760757801816,"I'm giving Applebee's a FIVE star, because I think they do thee best job at keeping the public safe from Covid.
They are very cautious, and thorough with their sanitizing.
Thank you Applebee's for caring!!!! I appreciate you!",--,--,job sanitizing,0.0,1.0,0.0,0.0,Neutral
358,358,07/27/21,Google,80063 TAYLOR,21350 Ecorse Road   -,Taylor,MI,48180,5,RUSH-_-dakilla GCMz Gaming and music Gaming,https://maps.google.com/maps?cid=6041203009968192811,Just a beautiful experience all the way around our sever was 4 days old and gave us 100% the works with being attentive and vary knowledgeable about the menu by far one of the best experiences I’ve had in a while it was great I recommend if your ever there too request her as a server if u wanna enjoy Applebee’s like we did thank u for such a great experience Sarah keep up the good work,--,--,experience way day work menu experience recommend server applebee experience work,0.0,0.8,0.2,0.3612,Positive
371,371,07/27/21,Google,90086 BURTON,4135 E. Court Street   -,Burton,MI,48509,2,Brandon Wyckoff,https://maps.google.com/maps?cid=12391225918062405231,Steak was over cooked and the bar tender has the personality of an ant.,--,--,bar tender personality ant,0.0,1.0,0.0,0.0,Neutral
377,377,07/27/21,Google,77031 NESHANNOCK TWSP,3300 Wilmington Road   -,New Castle,PA,16105,1,Terry Hohmann,https://maps.google.com/maps?cid=16190279678256718015,must have change supplier. use to have great ribs.  not any more.  wife was not happy with salad either. not as good as it was,--,--,supplier rib wife salad,0.0,1.0,0.0,0.0,Neutral
380,380,07/27/21,Google,75071 READING,3050 N. 5th Street Highway   -,Reading,PA,19605,5,Cinthia Burgos,https://maps.google.com/maps?cid=40063507221882632,"(Translated by Google) Always super

(Original)
Siempre super",--,--,,0.0,0.0,0.0,0.0,Neutral
382,382,07/27/21,Google,76007 UNIONTOWN,102 Walmart Drive   -,Uniontown,PA,15401,5,Cemi Bella,https://maps.google.com/maps?cid=12321037513709524657,It was such a hospitable and wonderful experience. My friend and I had an exceptional time they were so accommodating when it came to changing the channels.  I really appreciated how the waitresses were so keen to our needs their attention on us was exceptionally wonderful. Thank you Applebee's.,--,--,experience friend time attention,0.0,0.484,0.516,0.4939,Positive
383,383,07/27/21,Google,84005 S-WINSTON PARK,1205 W. Michigan Ave.   -,Marshall,MI,49068,5,Skippy Ernest,https://maps.google.com/maps?cid=11066452315626469813,Great food,--,--,food,0.0,1.0,0.0,0.0,Neutral
385,385,07/27/21,Google,92007 JOHNSTOWN,425 Galleria Drive   -,Johnstown,PA,15904,3,Lillie F Gould,https://maps.google.com/maps?cid=4631956439479702937,The food was average.,--,--,food average,0.0,1.0,0.0,0.0,Neutral
388,388,07/27/21,Google,80077 MONROE,2100 N. Telegraph Road   -,Monroe,MI,48162,5,Steven Grossmann,https://maps.google.com/maps?cid=16526467520974761036,Dena was a fantastic server. Food was great as usual.,--,--,server food,0.0,1.0,0.0,0.0,Neutral
389,389,07/27/21,Google,80077 MONROE,2100 N. Telegraph Road   -,Monroe,MI,48162,5,Katie Lynne,https://maps.google.com/maps?cid=16526467520974761036,Our dine-in experience was wonderful! We were seated and immediately greeted by Dena. She was so sweet and got us our food out so quickly. She made sure we were good throughout our entire service! We will be back!,--,--,experience food service,0.0,1.0,0.0,0.0,Neutral
392,392,07/27/21,Google,75005 CASTOR AVENUE,2535-37 Castor Avenue   -,Philadelphia,PA,19134,5,Tyrone he that High,https://maps.google.com/maps?cid=18102631466816524389,Very good service and nice food,--,--,service food,0.0,1.0,0.0,0.0,Neutral
398,398,07/27/21,Google,83095 HOLLAND,3134 Beeline Road   -,Holland,MI,49423,5,Anna Liceaga,https://maps.google.com/maps?cid=13276798899310469579,Very friendly service. Got 2 orders of full rack baby back ribs with fries. Got my absolute favorite thing on the menu the wonton tacos if you have not tried them you need too. There crispy with some really good sweet teriyaki chicken and slaw with cilantro and squeeze the limes over it delicious and the sauce is so good on the tacos,--,--,service order rack baby thing teriyaki chicken slaw lime,0.0,0.721,0.279,0.4767,Positive
408,408,07/27/21,Google,84051 PUEBLO,3428 N. Elizabeth   -,Pueblo,CO,81008,1,Jeffery Peck,https://maps.google.com/maps?cid=15152692773251150912,Terrible food and management.,--,--,food management,0.0,1.0,0.0,0.0,Neutral
410,410,07/27/21,Google,84048 WESTLAND,10625 West Colfax   -,Lakewood,CO,80226,5,Jackie Kimbrough,https://maps.google.com/maps?cid=7123878056159213281,Clean and friendly great food and ser,--,--,food ser,0.0,1.0,0.0,0.0,Neutral
415,415,07/27/21,Google,83095 HOLLAND,3134 Beeline Road   -,Holland,MI,49423,5,Amy Waldron,https://maps.google.com/maps?cid=13276798899310469579,"Great food and our server, Perla, was amazing!",--,--,server,0.0,1.0,0.0,0.0,Neutral
416,416,07/27/21,Google,80087 BELLEVILLE,10526 Belleville Road   -,Belleville,MI,48111,5,Leonard Genrich,https://maps.google.com/maps?cid=12233784825034942358,"Han was our waiter, he did a wonderful job and the food was great.",--,--,job food,0.0,1.0,0.0,0.0,Neutral
417,417,07/27/21,Google,88045 PEACH ST,7790 Peach Street   -,Erie,PA,16509,5,Brenda Seelinger,https://maps.google.com/maps?cid=748436066427401695,Excellent food,--,--,,0.0,0.0,0.0,0.0,Neutral
422,422,07/27/21,Google,98014 PORT RICHMOND,2501 Aramingo Ave.   -,Philadelphia,PA,19125,4,Christine Wilson,https://maps.google.com/maps?cid=10207143640296785667,Good food,--,--,food,0.0,1.0,0.0,0.0,Neutral
426,426,07/27/21,Google,83079 BATTLE CREEK,5775 Beckley Road   -,Battle Creek,MI,49015,5,thomas v,https://maps.google.com/maps?cid=1598738692624718297,Nice staff. Friendly bartender. The food was done perfectly.,--,--,bartender food,0.0,1.0,0.0,0.0,Neutral
428,428,07/27/21,Google,85003 SOUTH PUEBLO,4001 W. Northern Ave.   -,Pueblo,CO,81005,1,Bea Romero,https://maps.google.com/maps?cid=14651176915812042933,"Server was rude.   Kept glaring and giving dirty looks.  Would offer a very fake smile when she did stop by.  Manager refilled our drinks, as she would just ignore them.   Fries were old and cold.  If I could leave no stars I would.",--,--,smile manager drink fry star,0.0,0.615,0.385,0.3612,Positive
432,432,07/27/21,Google,83083 MUSKEGON,1825 East Sherman Blvd   -,Muskegon,MI,49444,4,Jamell McClendon,https://maps.google.com/maps?cid=13446550186741965175,Had a perfect margarita and lime chicken it was delish,--,--,lime delish,0.0,1.0,0.0,0.0,Neutral
434,434,07/27/21,Google,83079 BATTLE CREEK,5775 Beckley Road   -,Battle Creek,MI,49015,5,Haley Llewellyn,https://maps.google.com/maps?cid=1598738692624718297,Best place for food that is delicious and super friendly service!,--,--,food service,0.0,1.0,0.0,0.0,Neutral
449,449,07/27/21,Google,98075 WEST BRANCH,2992 Cook Road   -,West Branch,MI,48661,5,Linda Anderson,https://maps.google.com/maps?cid=11652640807624406006,Awesome food and even better service from Tom !!!� THANKS FOR A 10+ rating .....WILL BE BACK and ASK FOR TOM !!!��,--,--,service rating,0.0,1.0,0.0,0.0,Neutral
452,452,07/27/21,Google,97006 YORK,101 Northern Way   -,York,PA,17402,5,Linley Haynes,https://maps.google.com/maps?cid=788375293372819566,Great service!,--,--,service,0.0,1.0,0.0,0.0,Neutral
453,453,07/27/21,Google,92077 BAY CITY,3500 Wilder Road   -,Bay City,MI,48706,4,Brandi Hansas,https://maps.google.com/maps?cid=13522178041394335308,Yummy food.  Good service.,--,--,,0.0,0.0,0.0,0.0,Neutral
462,462,07/27/21,Google,80076 AUBURN HILLS,2105 N. Squirrel Road   -,Auburn Hills,MI,48326,1,Michael Kue,https://maps.google.com/maps?cid=16862173327648604875,"You had a 4 star but it’s an easy one star now, this sign is up every night by 8pm, if you come here 7days a week it’s gonna be here 7 days a week. I understand we are in a struggle with our labor force at the moment, I can overlook that, but the management needs to adjust their schedule online so people aren’t mislead. I live close enough to walk on a nice day to this location, twice I’ve been screwed because they say it’s open till 11. My mistake was giving them a second chance, it won’t happen again I assure you",--,"Michael Hi, thanks so much for your feedback! We are always striving to make every guest experience a 5-star one, so I appreciate you letting us know how we can improve.  Please feel free to contact me at AB8076@teamschostak.com at your earliest convenience. Thanks so much for your feedback!",week week struggle labor force moment management schedule people walk day location mistake chance,0.266,0.621,0.113,-0.4019,Negative
463,463,07/27/21,Google,98014 PORT RICHMOND,2501 Aramingo Ave.   -,Philadelphia,PA,19125,5,Kimberly Watts,https://maps.google.com/maps?cid=10207143640296785667,Went there with a friend had the 2 for 22 food was good.,--,--,food,0.0,1.0,0.0,0.0,Neutral
468,468,07/27/21,Google,86064 N. HILLS VILLAGE MALL,4801 McKnight Road   -,Pittsburgh,PA,15237,4,Brenda MacFarland,https://maps.google.com/maps?cid=2191154245022837979,Good Food and Service.,--,--,food service,0.0,1.0,0.0,0.0,Neutral
486,486,07/27/21,Google,80067 PORT HURON,3700 Pine Grove Ave.   -,Port Huron,MI,48060,5,Melanie Grammer,https://maps.google.com/maps?cid=8575566517722091455,It was very good. Server was attentive and made sure we were good.,--,--,server,0.0,1.0,0.0,0.0,Neutral
501,501,07/27/21,Google,83096 S-STURGIS,1310 S Centerville Rd   -,Sturgis,MI,49091,5,David Kinlan,https://maps.google.com/maps?cid=2282253400916096863,I'm a truck driver making a delivery in the morning the food was excellent Jasmine was my servers she was really cool enjoyed the conversation with a good atmosphere cool place I'll stop there again thank you,--,--,truck morning food atmosphere place,0.0,1.0,0.0,0.0,Neutral
